percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.003704275,127,25,2017/06/29
0.004630344,118,31,2017/06/29
0.007562896,125,50,2017/06/29
0.010186757,82,67,2017/06/29
0.01219324,70,80,2017/06/29
0.012656274,72,83,2017/06/29
0.013582343,65,89,2017/06/29
0.015125791,66,99,2017/06/29
0.015588825,71,102,2017/06/29
0.020064825,68,131,2017/06/29
0.020373514,66,133,2017/06/29
0.022225652,62,145,2017/06/29
0.024695169,68,161,2017/06/29
0.034727581,53,226,2017/06/29
0.036888409,55,240,2017/06/29
0.039049236,53,254,2017/06/29
0.04398827,68,286,2017/06/29
0.044914339,66,292,2017/06/29
0.049699028,52,323,2017/06/29
0.049853372,51,324,2017/06/29
0.050933786,57,331,2017/06/29
0.051242476,59,333,2017/06/29
0.051551165,59,335,2017/06/29
0.055255441,57,359,2017/06/29
0.057261923,64,372,2017/06/29
0.059268406,67,385,2017/06/29
0.060657509,61,394,2017/06/29
0.060966198,61,396,2017/06/29
0.064670474,70,420,2017/06/29
0.065442198,78,425,2017/06/29
0.068220404,80,443,2017/06/29
0.068374749,79,444,2017/06/29
0.078098472,76,507,2017/06/29
0.078561506,80,510,2017/06/29
0.080413644,62,522,2017/06/29
0.081339713,54,528,2017/06/29
0.081802747,55,531,2017/06/29
0.082883161,57,538,2017/06/29
0.083963575,60,545,2017/06/29
0.085043988,56,552,2017/06/29
0.086587436,54,562,2017/06/29
0.089983022,60,584,2017/06/29
0.090446056,59,587,2017/06/29
0.09152647,61,594,2017/06/29
0.093687297,62,608,2017/06/29
0.098780676,57,641,2017/06/29
0.106652261,54,692,2017/06/29
0.108813088,49,706,2017/06/29
0.109584812,52,711,2017/06/29
0.11143695,54,723,2017/06/29
0.118999846,60,772,2017/06/29
0.122858466,57,797,2017/06/29
0.125019293,61,811,2017/06/29
0.128877913,58,836,2017/06/29
0.129958327,61,843,2017/06/29
0.133353913,61,865,2017/06/29
0.138292946,62,897,2017/06/29
0.140608119,63,912,2017/06/29
0.141842877,56,920,2017/06/29
0.148171014,104,961,2017/06/29
0.150794876,105,978,2017/06/29
0.152492669,87,989,2017/06/29
0.153264393,88,994,2017/06/29
0.155579565,85,1009,2017/06/29
0.156042599,86,1012,2017/06/29
0.160209909,99,1039,2017/06/29
0.162062047,97,1051,2017/06/29
0.168235839,77,1091,2017/06/29
0.175490045,85,1138,2017/06/29
